id,name,group,material,x_mm,y_mm,z_mm,width_mm,depth_mm,height_mm,status
P058,Through side bar with exposed ends,Side lines,WALNUT,558,0,422,14,480,12,"CONCEPT exterior, not cut list"
P059,Top front/back apron,Top,WALNUT,50,20,548,500,16,28,"CONCEPT exterior, not cut list"
P060,Top front/back apron,Top,WALNUT,50,444,548,500,16,28,"CONCEPT exterior, not cut list"
P061,Top side apron,Top,WALNUT,20,60,548,16,360,28,"CONCEPT exterior, not cut list"
P062,Top side apron,Top,WALNUT,564,60,548,16,360,28,"CONCEPT exterior, not cut list"
P063,Top projecting front/back border,Top,WALNUT,-20,0,576,640,30,24,"CONCEPT exterior, not cut list"
P064,Top projecting front/back border,Top,WALNUT,-20,450,576,640,30,24,"CONCEPT exterior, not cut list"
P065,Top split side border,Top,WALNUT,0,30,576,30,196.0,24,"CONCEPT exterior, not cut list"
P066,Top split side border,Top,WALNUT,0,254.0,576,30,196.0,24,"CONCEPT exterior, not cut list"
P067,Top split side border,Top,WALNUT,570,30,576,30,196.0,24,"CONCEPT exterior, not cut list"
P068,Top split side border,Top,WALNUT,570,254.0,576,30,196.0,24,"CONCEPT exterior, not cut list"
P069,Top projecting crossbar,Top,WALNUT,-20,226.0,576,640,28,24,"CONCEPT exterior, not cut list"
P070,Top plain maple panel,Top,MAPLE,31,31,576,538,194.0,24,"CONCEPT exterior, not cut list"
P071,Top plain maple panel,Top,MAPLE,31,255.0,576,538,194.0,24,"CONCEPT exterior, not cut list"
